USER               PID   PSR   pctCPU       CPUTIME  pctMEM     RSZ_KB     VSZ_KB   TTY      S       ELAPSED  COMMAND             ARGS
networkd           290     ?      0.0       0:05.07     0.0        876    2476532   ??       S   03-14:49:13  networkd            <noArgs>
root               297     ?      0.0       0:03.63     0.0        192    2492900   ??       S   03-14:49:13  usbd                <noArgs>
root               298     ?      0.0       0:05.22     0.0        284    2471156   ??       S   03-14:49:13  ntpd                -c_/private/etc/ntp-restrict.conf_-n_-g_-p_/var/run/ntpd.pid_-f_/var/db/ntp.drift
root               303     ?      0.0       3:37.33     0.0        220    2493712   ??       S   03-14:49:13  corestoraged        <noArgs>
root               309     ?      0.0      41:17.19     0.2      16748    4044736   ??       U   03-14:49:12  mds_stores          <noArgs>
root               311     ?      0.0       0:01.56     0.0        116    2536972   ??       S   03-14:49:12  CVMServer           <noArgs>
root               319     ?      0.0       0:00.14     0.0          8    2461136   ??       S   03-14:49:12  SymSharedSettingsd  <noArgs>
root               322     ?      0.0       0:01.59     0.0        104    2469416   ??       S   03-14:49:05  watchdogd           <noArgs>
root               334     ?      0.0       0:00.22     0.0        780    2492768   ??       S   03-14:47:08  CrashReporterSuppo  server-init
root               337     ?      0.0       0:00.32     0.0        512    2469360   ??       S   03-14:46:57  SubmitDiagInfo      server-init
root               342     ?      0.0       0:02.06     0.0        880    2494296   ??       S   03-14:46:57  dspluginhelperd     <noArgs>
softwareupdate     347     ?      0.0      13:30.33     0.0       1096    4068388   ??       S   03-14:46:57  Software            Update.app/Contents/Resources/softwareupdated
root               353     ?      0.0       0:02.74     0.0        680    2533944   ??       S   03-14:46:57  suhelperd           <noArgs>
root               447     ?      0.0       0:00.05     0.0        216    2470960   ??       S      16:13:03  com.omnigroup.Omni  <noArgs>
jbjerke            462     ?      0.0       1:32.30     0.5      42028    2842812   ??       S      16:13:00  OmniGraffle         <noArgs>
root               700     ?      1.0     172:39.02     0.2      14584    3077012   ??       U   03-14:46:41  Application         Support/Symantec/Daemon/SymDaemon.bundle/Contents/MacOS/SymDaemon
spotlight          713     ?      0.0       0:00.16     0.0        564    2476772   ??       S   03-14:46:35  mdworker            -s_mdworker-sizing_-c_MDSSizingWorker_-m_com.apple.mdworker.sizing
root               787     ?      0.0       0:00.48     0.0         68    2493372   ??       S   03-14:46:02  securityd_service   <noArgs>
jbjerke            801     ?      0.0       0:17.38     0.0       1240    2499840   ??       S   03-14:46:02  UserEventAgent      (Aqua)
jbjerke            803     ?      0.0       0:52.65     0.1       8428    2475908   ??       S   03-14:46:02  distnoted           agent
jbjerke            804     ?      0.0       0:08.29     0.0        940    2498368   ??       S   03-14:46:02  universalaccessd    launchd_-s
jbjerke            809     ?      0.0       0:11.84     0.0       2628    2498452   ??       S   03-14:46:02  mdmclient           agent
jbjerke            813     ?      0.0       0:07.64     0.0        648    2498924   ??       S   03-14:46:02  usernoted           <noArgs>
jbjerke            822     ?      0.0       0:05.42     0.0        532    2509428   ??       S   03-14:46:02  ARDAgent            <noArgs>
jbjerke            827     ?      0.0       0:18.65     0.0       1708    2509920   ??       S   03-14:46:02  CalendarAgent       <noArgs>
jbjerke            844     ?      0.0       1:00.76     0.0       3044    2641716   ??       S   03-14:46:01  Dock                <noArgs>
jbjerke            846     ?      0.0      17:29.72     0.1       8340    2673924   ??       S   03-14:46:01  SystemUIServer      <noArgs>
jbjerke            847     ?      0.0       5:30.89     0.7      56668    4074252   ??       U   03-14:46:01  Finder              <noArgs>
jbjerke            848     ?      0.0       0:00.02     0.0         16    2473420   ??       S   03-14:46:01  pboard              <noArgs>
root               850     ?      0.0       0:01.29     0.0        372    2472312   ??       S   03-14:46:01  TMCacheDelete       <noArgs>
jbjerke            851     ?      0.0       0:26.94     0.2      14992    3760980   ??       S   03-14:46:01  Spotlight           <noArgs>
coreaudiod         852     ?      0.0      21:53.26     0.0       1508    2502508   ??       S   03-14:46:01  coreaudiod          <noArgs>
jbjerke            853     ?      0.0       0:34.29     0.0       1308    2530100   ??       S   03-14:46:01  fontd               <noArgs>
jbjerke            858     ?      2.2       0:20.27     0.1       4612    2512024   ??       S   03-14:46:01  sharingd            <noArgs>
jbjerke            865     ?      0.0       0:10.68     0.0       2076    2507808   ??       S   03-14:46:00  identityservicesd   <noArgs>
root               866     ?      0.0       0:01.07     0.0        628    2477648   ??       S   03-14:46:00  filecoordinationd   <noArgs>
jbjerke            868     ?      0.0       0:02.10     0.0       1060    2549668   ??       S   03-14:46:00  com.apple.dock.ext  <noArgs>
jbjerke            869     ?      0.0       0:02.13     0.0       1136    2495304   ??       S   03-14:46:00  Menu                Extras/AirPort.menu/Contents/XPCServices/com.apple.wifi.proxy.xpc/Contents/MacOS/com.apple.wifi.proxy
jbjerke            870     ?      0.0       1:09.08     0.0        800     707152   ??       S   03-14:46:00  webexpluginagent    <noArgs>
jbjerke            873     ?      0.0       0:00.74     0.0       1364    2492908   ??       S   03-14:46:00  SocialPushAgent     <noArgs>
jbjerke            875     ?      0.0       0:01.41     0.0        768    2543052   ??       S   03-14:46:00  Keychain            Circle_Notification.app/Contents/MacOS/Keychain_Circle_Notification
root               878     ?      0.0      18:39.11     0.0       3592    2502464   ??       S   03-14:46:00  jamfAgent           <noArgs>
jbjerke            880     ?      0.1       2:37.31     0.2      12776    2597392   ??       S   03-14:46:00  NotificationCenter  <noArgs>
jbjerke            884     ?      0.0       0:10.17     0.0       1796    2573388   ??       S   03-14:46:00  Application         Support/Symantec/SymUIAgent/SymUIAgent.app/Contents/MacOS/SymUIAgent
jbjerke            885     ?      0.0       0:24.50     0.0       3896    2568212   ??       S   03-14:46:00  Folder              Actions_Dispatcher.app/Contents/MacOS/Folder_Actions_Dispatcher
jbjerke            887     ?      0.0       0:00.42     0.0        636    2492964   ??       S   03-14:46:00  askpermissiond      <noArgs>
jbjerke            889     ?      0.0       0:05.30     0.0        676    2471512   ??       S   03-14:46:00  Application         Support/Spotify/SpotifyWebHelper
jbjerke            890     ?      0.0       0:02.86     0.0        764    2497236   ??       S   03-14:46:00  imagent             <noArgs>
jbjerke            891     ?      0.0       0:07.47     0.0       1460    2494984   ??       S   03-14:46:00  cloudpaird          <noArgs>
jbjerke            894     ?      0.0       0:04.37     0.0       1152    2551296   ??       S   03-14:46:00  ReceiverHelper      <noArgs>
jbjerke            897     ?      0.0       0:03.36     0.0        812    2535516   ??       S   03-14:46:00  WiFiAgent           <noArgs>
jbjerke            898     ?      0.0       0:04.77     0.0        908    2496020   ??       S   03-14:46:00  diagnostics_agent   <noArgs>
jbjerke            902     ?      0.0       0:01.34     0.0        692    2540260   ??       S   03-14:46:00  ServiceRecords      <noArgs>
root               910     ?      0.0       0:04.31     0.0        596    2494548   ??       S   03-14:46:00  diskmanagementd     <noArgs>
jbjerke            914     ?      0.0       1:24.97     0.0       2676    3619068   ??       S   03-14:46:00  Flux                <noArgs>
jbjerke            926     ?      0.0       0:01.20     0.0        648    2534108   ??       S   03-14:45:59  Menu                Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
jbjerke            936     ?      0.0       0:04.49     0.0       1352    2555120   ??       S   03-14:45:59  VMware              Fusion.app/Contents/Library/VMware_Fusion_Start_Menu.app/Contents/MacOS/VMware_Fusion_Start_Menu
jbjerke            940     ?      0.0       0:08.44     0.0       2380    2515572   ??       S   03-14:45:59  storeaccountd       <noArgs>
jbjerke            953     ?      0.0       1:28.13     0.1       5900    2582236   ??       S   03-14:45:58  BetterSnapTool      <noArgs>
jbjerke            957     ?      0.1      27:56.98     1.4     113344    3590764   ??       S   03-14:45:58  Google              Chrome.app/Contents/MacOS/Google_Chrome
jbjerke            959     ?      0.2      31:24.15     1.1      88392    3730848   ??       S   03-14:45:58  Google              Chrome_Canary.app/Contents/MacOS/Google_Chrome_Canary
jbjerke            973     ?      0.0      11:48.54     0.1       4532     897384   ??       S   03-14:45:57  CrashPlan           menu_bar.app/Contents/MacOS/CrashPlan_menu_bar
jbjerke            979     ?      1.0      35:39.11     0.1       4772     773828   ??       S   03-14:45:57  Productivity        Tools/WebEx_Productivity_Tools.app/Contents/MacOS/WebEx_Productivity_Tools
jbjerke            981     ?      0.0       0:02.35     0.0       1016    2550752   ??       S   03-14:45:57  Application         Support/Box/Box_Edit/Box_Local_Com_Server.app/Contents/MacOS/Box_Local_Com_Server
jbjerke            984     ?      0.0       0:02.90     0.0        800    2549548   ??       S   03-14:45:56  Application         Support/Box/Box_Edit/Box_Edit.app/Contents/MacOS/Box_Edit
jbjerke            985     ?      0.0       0:05.21     0.0       1428    2640528   ??       S   03-14:45:56  Meeting             Center.app/Contents/MacOS/MeetingCenter
jbjerke            996     ?      0.0       0:00.18     0.0          4    2469972   ??       S   03-14:45:56  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Framework.framework/Helpers/crashpad_handler_--database=/Users/jbjerke/Library/Application_Support/Google/Chrome/Crashpad_--url=https://clients2.google.com/cr/report_--annotation=plat=OS_X_--annotation=prod=Chrome_Mac_--annotation=ver=46.0.2490.71_--handshake-fd=7
jbjerke            999     ?      0.0       0:00.28     0.0         24    2493864   ??       S   03-14:45:55  Google              Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Framework.framework/Helpers/crashpad_handler_--database=/Users/jbjerke/Library/Application_Support/Google/Chrome_Canary/Crashpad_--url=https://clients2.google.com/cr/report_--annotation=plat=OS_X_--annotation=prod=Chrome_Mac_--annotation=ver=48.0.2541.0_--handshake-fd=7
jbjerke           1003     ?      0.0      10:52.51     0.2      15784    2781184   ??       S   03-14:45:55  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=gpu-process_--channel=957.0.1258421553_--supports-dual-gpus=false_--gpu-driver-bug-workarounds=14,24,29,32,41,45,48,52,58_--gpu-vendor-id=0x8086_--gpu-device-id=0x0a26_--gpu-driver-vendor_--gpu-driver-version
jbjerke           1004     ?      0.0      13:48.99     0.2      16920    2912460   ??       S   03-14:45:55  Google              Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=gpu-process_--channel=959.0.337668725_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--supports-dual-gpus=false_--gpu-driver-bug-workarounds=14,15,28,33,37,46,50,53,57,63_--gpu-vendor-id=0x8086_--gpu-device-id=0x0a26_--gpu-driver-vendor_--gpu-driver-version_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4
jbjerke           1006     ?      0.0       0:29.57     0.1       4368    2582492   ??       S   03-14:45:55  AppleSpell          -psn_0_213044
jbjerke           1013     ?      0.0       5:01.66     0.6      47680    3515268   ??       S   03-14:45:54  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/*AutofillClassifier/Default/BackgroundRendererProcesses/Disallow/CaptivePortalInterstitial/Enabled/ChildAccountDetection/Disabled/ChromeDashboard/Default/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/*DomRel-Enable/enable/*EmbeddedSearch/Group6_pct:10f_stable:pp2_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionContentVerification/Enforce/ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/FlashHardwareVideoDecode/HwVideo/*GoogleNow/Enable/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/Postperiod_AnswersInSuggest_A2/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Infobar/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/EnabledNoIdForLargePopulation/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingReportPhishingErrorLink/Disabled/SafeBrowsingSocialEngineeringStrings/Disabled/*SdchPersistence/Enabled/SessionRestoreBackgroundLoading/Restore/SlimmingPaint/EnableSlimmingPaint/SyncBackingDatabase32K/Enabled/*UMA-Dynamic-Binary-Uniformity-Trial/default/*UMA-Dynamic-Uniformity-Trial/Group3/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/group_01/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Default/VoiceTrigger/Install/_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--enable-delegated-renderer_--num-raster-threads=2_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037_--video-image-texture-target=34037_--channel=957.1.454692912
jbjerke           1015     ?      0.0       0:23.65     0.1       9444    3295944   ??       U   03-14:45:54  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/*AutofillClassifier/Default/*BackgroundRendererProcesses/Disallow/CaptivePortalInterstitial/Enabled/ChildAccountDetection/Disabled/ChromeDashboard/Default/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/*DomRel-Enable/enable/*EmbeddedSearch/Group6_pct:10f_stable:pp2_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionContentVerification/Enforce/ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/FlashHardwareVideoDecode/HwVideo/*GoogleNow/Enable/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/Postperiod_AnswersInSuggest_A2/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Infobar/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/EnabledNoIdForLargePopulation/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingReportPhishingErrorLink/Disabled/SafeBrowsingSocialEngineeringStrings/Disabled/*SdchPersistence/Enabled/SessionRestoreBackgroundLoading/Restore/*SlimmingPaint/EnableSlimmingPaint/SyncBackingDatabase32K/Enabled/*UMA-Dynamic-Binary-Uniformity-Trial/default/*UMA-Dynamic-Uniformity-Trial/Group3/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/group_01/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Default/VoiceTrigger/Install/_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--enable-delegated-renderer_--num-raster-threads=2_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037_--video-image-texture-target=34037_--channel=957.2.1006491936
jbjerke           1016     ?      0.0       0:38.60     0.1       8140    3305580   ??       S   03-14:45:54  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/*AutofillClassifier/Default/*BackgroundRendererProcesses/Disallow/CaptivePortalInterstitial/Enabled/ChildAccountDetection/Disabled/ChromeDashboard/Default/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/*DomRel-Enable/enable/*EmbeddedSearch/Group6_pct:10f_stable:pp2_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionContentVerification/Enforce/ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/FlashHardwareVideoDecode/HwVideo/*GoogleNow/Enable/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/Postperiod_AnswersInSuggest_A2/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Infobar/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/EnabledNoIdForLargePopulation/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingReportPhishingErrorLink/Disabled/SafeBrowsingSocialEngineeringStrings/Disabled/*SdchPersistence/Enabled/SessionRestoreBackgroundLoading/Restore/*SlimmingPaint/EnableSlimmingPaint/SyncBackingDatabase32K/Enabled/*UMA-Dynamic-Binary-Uniformity-Trial/default/*UMA-Dynamic-Uniformity-Trial/Group3/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/group_01/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Default/VoiceTrigger/Install/_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--enable-delegated-renderer_--num-raster-threads=2_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037_--video-image-texture-target=34037_--channel=957.3.68221232
jbjerke           1017     ?      0.0       0:28.51     0.1      10124    3302796   ??       S   03-14:45:54  Google              Chrome.app/Contents/Versions/46.0.2490.71/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AffiliationBasedMatching/Enabled/AppBannerTriggering/Aggressive/AudioProcessing48kHzSupport/Default/*AutofillClassifier/Default/*BackgroundRendererProcesses/Disallow/CaptivePortalInterstitial/Enabled/ChildAccountDetection/Disabled/ChromeDashboard/Default/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/*DomRel-Enable/enable/*EmbeddedSearch/Group6_pct:10f_stable:pp2_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionContentVerification/Enforce/ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/FlashHardwareVideoDecode/HwVideo/*GoogleNow/Enable/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/Postperiod_AnswersInSuggest_A2/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Infobar/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/EnabledNoIdForLargePopulation/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingReportPhishingErrorLink/Disabled/SafeBrowsingSocialEngineeringStrings/Disabled/*SdchPersistence/Enabled/SessionRestoreBackgroundLoading/Restore/*SlimmingPaint/EnableSlimmingPaint/SyncBackingDatabase32K/Enabled/*UMA-Dynamic-Binary-Uniformity-Trial/default/*UMA-Dynamic-Uniformity-Trial/Group3/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/group_01/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Default/VoiceTrigger/Install/_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--enable-delegated-renderer_--num-raster-threads=2_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037_--video-image-texture-target=34037_--channel=957.4.1322637279
