app,DisplayName,License,Whitelist,Blacklist
"VMware Fusion.app/Contents/MacOS/VMware_Fusion","VMWare Fusion",,,
"Spotify --upgrade-failed",Spotify,,,
"Spotify Helper.app/Contents/MacOS/Spotify_Helper_--type=gpu-process_--channel=29106.0.640674221_--lang=en-US_--log-severity=disable_--product-version=Spotify/1.0.14.124_--supports-dual-gpus=false_--gpu-driver-bug-workarounds=16,25,30,32,41,44,46,50,56_--gpu-vendor-id=0x8086_--gpu-device-id=0x0a26_--gpu-driver-vendor_--gpu-driver-version_--lang=en-US_--log-severity=disable_--product-version=Spotify/1.0.14.124",Spotify,,,
"Spotify Helper.app/Contents/MacOS/Spotify_Helper_--type=renderer_--enable-deferred-image-decoding_--lang=en-US_--lang=en-US_--log-severity=disable_--product-version=Spotify/1.0.14.124_--disable-scroll-bounce_--disable-spell-checking_--enable-pinch-virtual-viewport_--enable-delegated-renderer_--num-raster-threads=2_--use-image-texture-target=3553_--channel=29106.1.1233446253",Spotify,,,
"[splunkd pid=1905]_splunkd_-p_8090_start_[process-runner]_SER=root_SUDO_USER=jbjerke",Splunk,,,
"Box Sync/Documents/Splunk/Product/Instance/partnerkit/bin/splunk_stop",Splunk,,,
"Box Sync/Documents/Splunk/Product/Instance/partnerkit/bin/splunkd_btool_web_list_settings_--no-log",Splunk,,,
"Box Sync/Documents/Splunk/Product/Instance/win/bin/python_-O_/Users/jbjerke/Box_Sync/Documents/Splunk/Product/Instance/win/lib/python2.7/site-packages/splunk/appserver/mrsparkle/root.py_--proxied=127.0.0.1,8065,8006",Splunk,,,
"Box Sync/Documents/Splunk/Product/Instance/win/bin/splunkd_instrument-resource-usage_-p_8090_--with-kvstore",Splunk,,,
"mongod --dbpath=/Users/jbjerke/Box_Sync/Documents/Splunk/Product/Instance/win/var/lib/splunk/kvstore/mongo_--port=8191_--timeStampFormat=iso8601-utc_--smallfiles_--oplogSize=200_--keyFile=/Users/jbjerke/Box_Sync/Documents/Splunk/Product/Instance/win/var/lib/splunk/kvstore/mongo/splunk.key_--setParameter=enableLocalhostAuthBypass=0_--replSet=513FE148-8C8D-40B3-A821-9195C08FFBCF_--sslAllowInvalidHostnames_--sslMode=preferSSL_--sslPEMKeyFile=/Users/jbjerke/Box_Sync/Documents/Splunk/Product/Instance/win/etc/auth/server.pem_--sslPEMKeyPassword=xxxxxxxx_--nounixsocket",Splunk,,,
"splunkd -p_8090_start",Splunk,,,
"Microsoft Office_2011/Microsoft_Word.app/Contents/MacOS/Microsoft_Word_-psn_0_704684","Microsoft Word",,,
"Microsoft Office_2011/Microsoft_PowerPoint.app/Contents/MacOS/Microsoft_PowerPoint","Microsoft Powerpoint",,,
"Microsoft Office_2011/Microsoft_Outlook.app/Contents/MacOS/Microsoft_Outlook","Microsoft Outlook",,,
"Microsoft Office_2011/Microsoft_Excel.app/Contents/MacOS/Microsoft_Excel","Microsoft Excel",,,
"Microsoft Office_2011/Office/Microsoft_Database_Daemon.app/Contents/MacOS/Microsoft_Database_Daemon","Microsoft Databse Daemon",,,
"Application Support/Microsoft/MAU2.0/Microsoft_AutoUpdate.app/Contents/MacOS/Microsoft_AU_Daemon.app/Contents/MacOS/Microsoft_AU_Daemon","Microsoft AutoUpdate",,,
"Microsoft Office_2011/Office/Microsoft_Alerts_Daemon.app/Contents/MacOS/Microsoft_Alerts_Daemon","Microsoft Alerts Daemon",,,
"Google Chrome_Canary.app/Contents/MacOS/Google_Chrome_Canary","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Framework.framework/Helpers/crashpad_handler_--database=/Users/jbjerke/Library/Application_Support/Google/Chrome_Canary/Crashpad_--url=https://clients2.google.com/cr/report_--annotation=plat=OS_X_--annotation=prod=Chrome_Mac_--annotation=ver=48.0.2541.0_--handshake-fd=7","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=gpu-process_--channel=959.0.337668725_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--supports-dual-gpus=false_--gpu-driver-bug-workarounds=14,15,28,33,37,46,50,53,57,63_--gpu-vendor-id=0x8086_--gpu-device-id=0x0a26_--gpu-driver-vendor_--gpu-driver-version_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.1.170532438","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.2.2078339106","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.3.1366569626","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.4.1100803329","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.5.455605520","Google Chrome",,,
"Google Chrome_Canary.app/Contents/Versions/48.0.2541.0/Google_Chrome_Helper.app/Contents/MacOS/Google_Chrome_Helper_--type=renderer_--lang=en-US_--force-fieldtrials=AVFoundationMacVideoCapture/EnabledByFlag/AffiliationBasedMatching/Enabled/AppBannerTriggering/Conservative/AudioProcessing48kHzSupport/Enabled/*AutofillClassifier/Control/AutofillProfileOrderByFrecency/Control/*AutomaticTabDiscarding/Control/BackgroundRendererProcesses/Disallow/*BackgroundTracing/default/CTRequiredForEVTrial/RequirementEnforced/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Enabled/ChromeDashboard/Default/*ChromeSuggestions/FeedbackRanker_Mixed_2/ChromotingQUIC/Disabled/*ClientSideDetectionModel/Model0/CrossDevicePromo/ControlLarge/*DataReductionProxyConfigService/Control_Enabled/*DomRel-Enable/enable/*EmbeddedSearch/Group1_dev:pp6_prefetch_results:1_reuse_instant_search_base_page:1/EnableGoogleCachedCopyTextExperiment/Button/*EnhancedBookmarks/Default/*ExtensionActionRedesign/Default/ExtensionDeveloperModeWarning/Control/*ExtensionInstallVerification/Control/*IconNTP/Default/InstanceID/Enabled/IntelligentSessionRestore/Enabled2/*LightSpeed/Control_PrefetchDWriteFontCache/*LocalNTPSuggestionsService/Control/MaterialDesignDownloads/Control/*NewProfileManagement/Enabled/NewVideoRendererTrial/Enabled/OmniboxBundledExperimentV1/DevHQPDoesHUPLikeScoringControl/*OutOfProcessPac/Default/PasswordBranding/Disabled/*PasswordGeneration/Disabled/PasswordLinkInSettings/Enabled/PasswordManagerUI/Bubble/*PluginPowerSaver/Enabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/*QUIC/Enabled/*RefreshTokenDeviceId/Enabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/SSLCommonNameMismatchHandling/Enabled/*SafeBrowsingIncidentReportingService/Enabled/SafeBrowsingReportPhishingErrorLink/Enabled/SafeBrowsingSocialEngineeringStrings/Disabled/SafeBrowsingUpdateFrequency/Default/*SdchPersistence/Disabled/*SimpleCacheTrial/ExperimentYes/*SiteEngagement/Default/SlimmingPaint/DisableSlimmingPaint/*StunProbeTrial/Default/SyncBackingDatabase32K/Enabled/SyncOptimisticBookmarkAssociation/Disabled/TabSyncByRecency/Enabled/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/default/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/VoiceTrigger/Install/WebRTC-LocalIPPermissionCheck/Enabled/WebRTC-PeerConnectionDTLS1.2/Control/*WebRTC-SupportVP9/Default/_--metrics-client-id=E51C3D9E-0A93-A1BF-AE83-94D6D2DA2FF4_--extension-process_--enable-webrtc-hw-h264-encoding_--disable-client-side-phishing-detection_--enable-offline-auto-reload_--enable-offline-auto-reload-visible-only_--num-raster-threads=2_--enable-zero-copy_--content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,34037,3553,34037,34037_--video-image-texture-target=34037_--channel=959.6.389011601","Google Chrome",,,
